ortholog/paralog1,paralog2,ortholog,score
A0A0B4J2P9,no,A0A088AHQ9,570.0
A0A0B4J2Q0,no,A0A0B4J2P6,288.0
A0A0B4J2Q1,no,A0A088A8E6,1141.0
A0A0B4J2Q2,no,A0A0B4J2P0,390.0
A0A0B4J2Q3,no,A0A087ZQU9,704.0
A0A0B4J2Q4,no,A0A0B4J2L5,419.0
A0A0B4J2Q5,no,A0A088AKR1,683.0
A0A0B4J2Q8,no,A0A088AB72,364.0
A0A0B4J2Q9,no,A0A087ZQX3,508.0
A0A0B4J2R0,no,A0A0B4J2N2,383.0
A0A0B4J2R2,no,A0A087ZW80,202.0
A0A0B4J2R3,no,A0A088ATF3,566.0
A0A0B4J2R4,no,A0A088A075,739.0
A0A0B4J2R5,no,A0A0B4J2P2,790.0
A0A0B4J2R6,no,A0A0B4J2N5,973.0
A0A0B4J2R8,no,A0A088AW19,349.0
A0A0B4J2R9,no,A0A0B4J2P3,214.0
A0A0B4J2S0,no,A0A0B4J2P8,403.0
A0A0B4J2S1,no,A0A088AHK1,264.0
A0A0B4J2S2,no,A0A0B4J2L8,4263.0
A0A0B4J2S3,no,A0A0B4J2M2,373.5
A0A0B4J2S4,no,A0A0B4J2M0,352.5
A0A0B4J2S5,no,A0A088AB11,486.0
A0A0B4J2S6,no,A0A0B4J2L4,820.0
A0A0B4J2S7,no,A0A088AC90,859.0
A0A0B4J2S8,no,A0A0B4J2M6,582.5
A0A0B4J2S9,no,A0A087ZV45,620.5
A0A0B4J2T0,no,A0A088ADQ6,243.0
A0A0B4J2T1,no,A0A088A241,414.0
A0A0B4J2T3,no,A0A088ACB8,275.0
A0A0B4J2T4,no,A0A088AJ33,169.0
A0A0B4J2T5,no,A0A0B4J2L9,292.0
A0A0B4J2T6,no,Q2PZC2,624.5
A0A0B4J2T8,no,A0A0B4J2P7,383.0
A0A0B4J2T9,no,A0A087ZN11,298.0
A0A0B4J2U0,no,A0A0B4J2M3,379.0
A0A0B4J2U2,no,A0A087ZTN7,59.7
A0A0B4J2U3,no,A0A0B4J2N7,659.0
B3U0E6,no,A0A087ZVE8,584.5
B5U217,no,A0A088A8I9,127.0
B8Y9E1,no,A0A087ZXG5,185.5
D3UA16,no,A0A087ZWN1,792.0
D3UA25,no,A0EIZ8,962.0
D3UAF5,no,A0A088A427,609.0
D3UAF6,no,A0A088AFN2,807.0
D4P8J0,no,Q10416,88.2
G8B1K7,no,Q1W644,232.0
G8B1N0,no,A0A088AGM1,29.3
G8B1T1,no,Q8WRW5,151.5
G8B1U5,no,A0A088AP24,92.8
K7ILR9,no,A0A087ZQD2,788.5
K7ILS1,no,A0A088APQ6,473.0
K7ILS2,no,A0A087ZNU0,429.0
K7ILS5,no,A0A087ZZZ5,828.0
K7ILS6,no,A0A087ZZZ4,890.5
K7ILS7,no,A0A088A6G8,491.0
